Start Time,End Time,Sleep
01:32:00.000,01:32:30.000,N2
01:32:30.000,01:33:00.000,N2
01:33:00.000,01:33:30.000,N2
01:33:30.000,01:34:00.000,N2
01:34:00.000,01:34:30.000,N2
01:34:30.000,01:35:00.000,N2
01:35:00.000,01:35:30.000,N2
01:35:30.000,01:36:00.000,N2
01:36:00.000,01:36:30.000,N2
01:36:30.000,01:37:00.000,N2
01:37:00.000,01:37:30.000,REM
01:37:30.000,01:38:00.000,REM
01:38:00.000,01:38:30.000,REM
01:38:30.000,01:39:00.000,REM
01:39:00.000,01:39:30.000,REM
01:39:30.000,01:40:00.000,REM
01:40:00.000,01:40:30.000,REM
01:40:30.000,01:41:00.000,REM
01:41:00.000,01:41:30.000,REM
01:41:30.000,01:42:00.000,REM
01:42:00.000,01:42:30.000,REM
01:42:30.000,01:43:00.000,REM
01:43:00.000,01:43:30.000,REM
01:43:30.000,01:44:00.000,REM
01:44:00.000,01:44:30.000,REM
01:44:30.000,01:45:00.000,REM
01:45:00.000,01:45:30.000,REM
01:45:30.000,01:46:00.000,REM
01:46:00.000,01:46:30.000,REM
01:46:30.000,01:47:00.000,REM
01:47:00.000,01:47:30.000,REM
01:47:30.000,01:48:00.000,REM
01:48:00.000,01:48:30.000,N2
01:48:30.000,01:49:00.000,N2
01:49:00.000,01:49:30.000,N2
01:49:30.000,01:50:00.000,N2
01:50:00.000,01:50:30.000,N2
01:50:30.000,01:51:00.000,N2
01:51:00.000,01:51:30.000,N2
01:51:30.000,01:52:00.000,N2
01:52:00.000,01:52:30.000,N2
01:52:30.000,01:53:00.000,N2
01:53:00.000,01:53:30.000,N2
01:53:30.000,01:54:00.000,N3
01:54:00.000,01:54:30.000,N3
01:54:30.000,01:55:00.000,N3
01:55:00.000,01:55:30.000,N3
01:55:30.000,01:56:00.000,N3
01:56:00.000,01:56:30.000,N3
01:56:30.000,01:57:00.000,N3
01:57:00.000,01:57:30.000,N3
01:57:30.000,01:58:00.000,N3
01:58:00.000,01:58:30.000,N3
01:58:30.000,01:59:00.000,N3
01:59:00.000,01:59:30.000,N3
01:59:30.000,02:00:00.000,N3
02:00:00.000,02:00:30.000,N3
02:00:30.000,02:01:00.000,N3
02:01:00.000,02:01:30.000,N3
02:01:30.000,02:02:00.000,N3
02:02:00.000,02:02:30.000,N3
02:02:30.000,02:03:00.000,N3
02:03:00.000,02:03:30.000,N3
02:03:30.000,02:04:00.000,N3
02:04:00.000,02:04:30.000,N3
02:04:30.000,02:05:00.000,N3
02:05:00.000,02:05:30.000,N3
02:05:30.000,02:06:00.000,N3
02:06:00.000,02:06:30.000,N3
