Start Time,End Time,Sleep
03:04:00.000,03:04:30.000,Wake
03:04:30.000,03:05:00.000,Wake
03:05:00.000,03:05:30.000,Wake
03:05:30.000,03:06:00.000,Wake
03:06:00.000,03:06:30.000,N1
03:06:30.000,03:07:00.000,N1
03:07:00.000,03:07:30.000,N1
03:07:30.000,03:08:00.000,N2
03:08:00.000,03:08:30.000,N2
03:08:30.000,03:09:00.000,N2
03:09:00.000,03:09:30.000,N2
03:09:30.000,03:10:00.000,N2
03:10:00.000,03:10:30.000,N2
03:10:30.000,03:11:00.000,N2
03:11:00.000,03:11:30.000,N2
03:11:30.000,03:12:00.000,N2
03:12:00.000,03:12:30.000,N2
03:12:30.000,03:13:00.000,N2
03:13:00.000,03:13:30.000,N2
03:13:30.000,03:14:00.000,N2
03:14:00.000,03:14:30.000,N2
03:14:30.000,03:15:00.000,N2
03:15:00.000,03:15:30.000,N2
03:15:30.000,03:16:00.000,N2
03:16:00.000,03:16:30.000,N2
03:16:30.000,03:17:00.000,N2
03:17:00.000,03:17:30.000,N2
03:17:30.000,03:18:00.000,N2
03:18:00.000,03:18:30.000,N2
03:18:30.000,03:19:00.000,N2
03:19:00.000,03:19:30.000,N2
03:19:30.000,03:20:00.000,N2
03:20:00.000,03:20:30.000,N2
03:20:30.000,03:21:00.000,N2
03:21:00.000,03:21:30.000,N2
03:21:30.000,03:22:00.000,N2
03:22:00.000,03:22:30.000,N2
03:22:30.000,03:23:00.000,N2
03:23:00.000,03:23:30.000,N2
03:23:30.000,03:24:00.000,N2
03:24:00.000,03:24:30.000,N2
03:24:30.000,03:25:00.000,N2
03:25:00.000,03:25:30.000,N2
03:25:30.000,03:26:00.000,N2
03:26:00.000,03:26:30.000,N2
03:26:30.000,03:27:00.000,N2
03:27:00.000,03:27:30.000,N2
03:27:30.000,03:28:00.000,N2
03:28:00.000,03:28:30.000,N2
03:28:30.000,03:29:00.000,N2
03:29:00.000,03:29:30.000,N3
03:29:30.000,03:30:00.000,N3
03:30:00.000,03:30:30.000,N3
03:30:30.000,03:31:00.000,N3
03:31:00.000,03:31:30.000,N3
03:31:30.000,03:32:00.000,N3
03:32:00.000,03:32:30.000,N3
03:32:30.000,03:33:00.000,N3
03:33:00.000,03:33:30.000,N3
03:33:30.000,03:34:00.000,N3
03:34:00.000,03:34:30.000,N3
03:34:30.000,03:35:00.000,N3
03:35:00.000,03:35:30.000,N3
03:35:30.000,03:36:00.000,N3
03:36:00.000,03:36:30.000,N3
03:36:30.000,03:37:00.000,N3
03:37:00.000,03:37:30.000,N3
03:37:30.000,03:38:00.000,N3
03:38:00.000,03:38:30.000,N3
03:38:30.000,03:39:00.000,N3
03:39:00.000,03:39:30.000,N3
03:39:30.000,03:40:00.000,N3
03:40:00.000,03:40:30.000,N3
03:40:30.000,03:41:00.000,N3
03:41:00.000,03:41:30.000,N3
03:41:30.000,03:42:00.000,N3
03:42:00.000,03:42:30.000,N3
03:42:30.000,03:43:00.000,N3
03:43:00.000,03:43:30.000,N3
03:43:30.000,03:44:00.000,N3
03:44:00.000,03:44:30.000,N3
03:44:30.000,03:45:00.000,N3
03:45:00.000,03:45:30.000,N3
03:45:30.000,03:46:00.000,N2
03:46:00.000,03:46:30.000,N2
03:46:30.000,03:47:00.000,N2
03:47:00.000,03:47:30.000,N2
03:47:30.000,03:48:00.000,N2
03:48:00.000,03:48:30.000,N2
03:48:30.000,03:49:00.000,N2
03:49:00.000,03:49:30.000,N2
03:49:30.000,03:50:00.000,N2
03:50:00.000,03:50:30.000,N2
03:50:30.000,03:51:00.000,N2
03:51:00.000,03:51:30.000,N2
03:51:30.000,03:52:00.000,N2
03:52:00.000,03:52:30.000,N2
03:52:30.000,03:53:00.000,N2
03:53:00.000,03:53:30.000,N2
03:53:30.000,03:54:00.000,N2
03:54:00.000,03:54:30.000,N2
03:54:30.000,03:55:00.000,N2
03:55:00.000,03:55:30.000,N2
03:55:30.000,03:56:00.000,N2
03:56:00.000,03:56:30.000,N2
03:56:30.000,03:57:00.000,N3
03:57:00.000,03:57:30.000,N3
03:57:30.000,03:58:00.000,N3
03:58:00.000,03:58:30.000,N3
03:58:30.000,03:59:00.000,N3
03:59:00.000,03:59:30.000,N3
03:59:30.000,04:00:00.000,N3
04:00:00.000,04:00:30.000,N3
04:00:30.000,04:01:00.000,Wake
04:01:00.000,04:01:30.000,N2
04:01:30.000,04:02:00.000,N2
04:02:00.000,04:02:30.000,N2
04:02:30.000,04:03:00.000,N2
04:03:00.000,04:03:30.000,N2
