Start Time,End Time,Sleep
10/01/2020 00:18,10/01/2020 00:18,Wake
10/01/2020 00:18,10/01/2020 00:19,Wake
10/01/2020 00:19,10/01/2020 00:19,Wake
10/01/2020 00:19,10/01/2020 00:20,Wake
10/01/2020 00:20,10/01/2020 00:20,Wake
10/01/2020 00:20,10/01/2020 00:21,Wake
10/01/2020 00:21,10/01/2020 00:21,Wake
10/01/2020 00:21,10/01/2020 00:22,Wake
10/01/2020 00:22,10/01/2020 00:22,Wake
10/01/2020 00:22,10/01/2020 00:23,Wake
10/01/2020 00:23,10/01/2020 00:23,Wake
10/01/2020 00:23,10/01/2020 00:24,Wake
10/01/2020 00:24,10/01/2020 00:24,Wake
10/01/2020 00:24,10/01/2020 00:25,Wake
10/01/2020 00:25,10/01/2020 00:25,Wake
10/01/2020 00:25,10/01/2020 00:26,Wake
10/01/2020 00:26,10/01/2020 00:26,Wake
10/01/2020 00:26,10/01/2020 00:27,Wake
10/01/2020 00:27,10/01/2020 00:27,Wake
10/01/2020 00:27,10/01/2020 00:28,Wake
10/01/2020 00:28,10/01/2020 00:28,Wake
10/01/2020 00:28,10/01/2020 00:29,N1
10/01/2020 00:29,10/01/2020 00:29,N1
10/01/2020 00:29,10/01/2020 00:30,N1
10/01/2020 00:30,10/01/2020 00:30,N1
10/01/2020 00:30,10/01/2020 00:31,N1
10/01/2020 00:31,10/01/2020 00:31,N2
10/01/2020 00:31,10/01/2020 00:32,N2
10/01/2020 00:32,10/01/2020 00:32,N2
10/01/2020 00:32,10/01/2020 00:33,N2
10/01/2020 00:33,10/01/2020 00:33,N2
10/01/2020 00:33,10/01/2020 00:34,N2
10/01/2020 00:34,10/01/2020 00:34,N2
10/01/2020 00:34,10/01/2020 00:35,N2
10/01/2020 00:35,10/01/2020 00:35,N2
10/01/2020 00:35,10/01/2020 00:36,N2
10/01/2020 00:36,10/01/2020 00:36,N3
10/01/2020 00:36,10/01/2020 00:37,N3
10/01/2020 00:37,10/01/2020 00:37,N3
10/01/2020 00:37,10/01/2020 00:38,N3
10/01/2020 00:38,10/01/2020 00:38,N3
10/01/2020 00:38,10/01/2020 00:39,N3
10/01/2020 00:39,10/01/2020 00:39,N3
10/01/2020 00:39,10/01/2020 00:40,N3
10/01/2020 00:40,10/01/2020 00:40,N3
10/01/2020 00:40,10/01/2020 00:41,N3
10/01/2020 00:41,10/01/2020 00:41,N3
10/01/2020 00:41,10/01/2020 00:42,N3
10/01/2020 00:42,10/01/2020 00:42,N3
10/01/2020 00:42,10/01/2020 00:43,N3
10/01/2020 00:43,10/01/2020 00:43,N3
10/01/2020 00:43,10/01/2020 00:44,N3
10/01/2020 00:44,10/01/2020 00:44,N3
10/01/2020 00:44,10/01/2020 00:45,N3
10/01/2020 00:45,10/01/2020 00:45,N3
10/01/2020 00:45,10/01/2020 00:46,N3
10/01/2020 00:46,10/01/2020 00:46,N3
10/01/2020 00:46,10/01/2020 00:47,N3
10/01/2020 00:47,10/01/2020 00:47,N3
10/01/2020 00:47,10/01/2020 00:48,N3
10/01/2020 00:48,10/01/2020 00:48,N3
10/01/2020 00:48,10/01/2020 00:49,N3
10/01/2020 00:49,10/01/2020 00:49,N3
10/01/2020 00:49,10/01/2020 00:50,N3
10/01/2020 00:50,10/01/2020 00:50,N3
10/01/2020 00:50,10/01/2020 00:51,N3
10/01/2020 00:51,10/01/2020 00:51,N3
10/01/2020 00:51,10/01/2020 00:52,N3
10/01/2020 00:52,10/01/2020 00:52,N3
10/01/2020 00:52,10/01/2020 00:53,N3
10/01/2020 00:53,10/01/2020 00:53,N3
10/01/2020 00:53,10/01/2020 00:54,N3
10/01/2020 00:54,10/01/2020 00:54,N3
10/01/2020 00:54,10/01/2020 00:55,N3
10/01/2020 00:55,10/01/2020 00:55,N3
10/01/2020 00:55,10/01/2020 00:56,N3
10/01/2020 00:56,10/01/2020 00:56,N3
10/01/2020 00:56,10/01/2020 00:57,N3
10/01/2020 00:57,10/01/2020 00:57,N3
10/01/2020 00:57,10/01/2020 00:58,N3
10/01/2020 00:58,10/01/2020 00:58,N3
10/01/2020 00:58,10/01/2020 00:59,N3
10/01/2020 00:59,10/01/2020 00:59,N3
10/01/2020 00:59,10/01/2020 01:00,N3
10/01/2020 01:00,10/01/2020 01:00,N3
10/01/2020 01:00,10/01/2020 01:01,N3
10/01/2020 01:01,10/01/2020 01:01,N3
10/01/2020 01:01,10/01/2020 01:02,N3
10/01/2020 01:02,10/01/2020 01:02,N3
10/01/2020 01:02,10/01/2020 01:03,N3
10/01/2020 01:03,10/01/2020 01:03,N3
10/01/2020 01:03,10/01/2020 01:04,N3
10/01/2020 01:04,10/01/2020 01:04,N3
10/01/2020 01:04,10/01/2020 01:05,N3
10/01/2020 01:05,10/01/2020 01:05,N3
10/01/2020 01:05,10/01/2020 01:06,N3
10/01/2020 01:06,10/01/2020 01:06,N3
10/01/2020 01:06,10/01/2020 01:07,N3
10/01/2020 01:07,10/01/2020 01:07,N3
10/01/2020 01:07,10/01/2020 01:08,N3
10/01/2020 01:08,10/01/2020 01:08,Wake
10/01/2020 01:08,10/01/2020 01:09,Wake
10/01/2020 01:09,10/01/2020 01:09,N1
10/01/2020 01:09,10/01/2020 01:10,N2
10/01/2020 01:10,10/01/2020 01:10,N2
10/01/2020 01:10,10/01/2020 01:11,N2
10/01/2020 01:11,10/01/2020 01:11,N2
10/01/2020 01:11,10/01/2020 01:12,N2
10/01/2020 01:12,10/01/2020 01:12,N2
10/01/2020 01:12,10/01/2020 01:13,N2
10/01/2020 01:13,10/01/2020 01:13,N2
10/01/2020 01:13,10/01/2020 01:14,N2
10/01/2020 01:14,10/01/2020 01:14,N2
10/01/2020 01:14,10/01/2020 01:15,N2
10/01/2020 01:15,10/01/2020 01:15,N2
10/01/2020 01:15,10/01/2020 01:16,N2
10/01/2020 01:16,10/01/2020 01:16,N2
10/01/2020 01:16,10/01/2020 01:17,N2
10/01/2020 01:17,10/01/2020 01:17,N2
10/01/2020 01:17,10/01/2020 01:18,N2
10/01/2020 01:18,10/01/2020 01:18,N2
10/01/2020 01:18,10/01/2020 01:19,N2
10/01/2020 01:19,10/01/2020 01:19,N2
10/01/2020 01:19,10/01/2020 01:20,N2
10/01/2020 01:20,10/01/2020 01:20,N2
10/01/2020 01:20,10/01/2020 01:21,N2
10/01/2020 01:21,10/01/2020 01:21,N2
10/01/2020 01:21,10/01/2020 01:22,N2
10/01/2020 01:22,10/01/2020 01:22,N2
10/01/2020 01:22,10/01/2020 01:23,N2
10/01/2020 01:23,10/01/2020 01:23,N2
10/01/2020 01:23,10/01/2020 01:24,N3
10/01/2020 01:24,10/01/2020 01:24,N3
10/01/2020 01:24,10/01/2020 01:25,N3
10/01/2020 01:25,10/01/2020 01:25,N3
10/01/2020 01:25,10/01/2020 01:26,N3
10/01/2020 01:26,10/01/2020 01:26,N3
10/01/2020 01:26,10/01/2020 01:27,N2
10/01/2020 01:27,10/01/2020 01:27,N2
10/01/2020 01:27,10/01/2020 01:28,N2
10/01/2020 01:28,10/01/2020 01:28,N2
10/01/2020 01:28,10/01/2020 01:29,N2
10/01/2020 01:29,10/01/2020 01:29,REM
10/01/2020 01:29,10/01/2020 01:30,REM
10/01/2020 01:30,10/01/2020 01:30,REM
10/01/2020 01:30,10/01/2020 01:31,REM
10/01/2020 01:31,10/01/2020 01:31,REM
10/01/2020 01:31,10/01/2020 01:32,REM
10/01/2020 01:32,10/01/2020 01:32,REM
10/01/2020 01:32,10/01/2020 01:33,REM
10/01/2020 01:33,10/01/2020 01:33,REM
10/01/2020 01:33,10/01/2020 01:34,REM
10/01/2020 01:34,10/01/2020 01:34,REM
10/01/2020 01:34,10/01/2020 01:35,REM
10/01/2020 01:35,10/01/2020 01:35,REM
10/01/2020 01:35,10/01/2020 01:36,REM
10/01/2020 01:36,10/01/2020 01:36,REM
10/01/2020 01:36,10/01/2020 01:37,REM
10/01/2020 01:37,10/01/2020 01:37,REM
10/01/2020 01:37,10/01/2020 01:38,REM
10/01/2020 01:38,10/01/2020 01:38,REM
10/01/2020 01:38,10/01/2020 01:39,REM
10/01/2020 01:39,10/01/2020 01:39,REM
10/01/2020 01:39,10/01/2020 01:40,REM
10/01/2020 01:40,10/01/2020 01:40,REM
10/01/2020 01:40,10/01/2020 01:41,REM
10/01/2020 01:41,10/01/2020 01:41,REM
10/01/2020 01:41,10/01/2020 01:42,REM
10/01/2020 01:42,10/01/2020 01:42,REM
10/01/2020 01:42,10/01/2020 01:43,Wake
10/01/2020 01:43,10/01/2020 01:43,N1
10/01/2020 01:43,10/01/2020 01:44,N2
10/01/2020 01:44,10/01/2020 01:44,N2
10/01/2020 01:44,10/01/2020 01:45,N2
